triangle_index,centroid_x_m,centroid_y_m,centroid_z_m,strain_eqv
330,0.375189145839,0.91647566115,0.0011,0.000743675746544
331,0.475189145839,0.71647566115,0.0011,0.000540601209259
332,0.875189145839,0.91647566115,0.0011,5.61139012908e-05
333,0.575189145839,0.81647566115,0.0011,0.000399488936392
334,0.375189145839,0.41647566115,0.0011,0.000719494552745
335,0.875189145839,0.41647566115,0.0011,6.15207586669e-05
336,0.275189145839,0.81647566115,0.0011,0.000880323643769
337,0.775189145839,0.21647566115,0.0011,0.000110433524467
338,0.975189045792,0.21647553685,0.0011,4.7887546492e-05
339,0.775189145839,0.61647566115,0.0011,0.000123848569095
340,0.0751891458392,0.21647566115,0.0011,0.00144367793445
341,0.775189145839,0.31647566115,0.0011,0.000115233101753
342,0.775189145839,0.71647566115,0.0011,0.000130319146726
343,0.775189145839,0.91647566115,0.0011,0.0001494388102
344,0.975189045792,0.31647553685,0.0011,5.27442988371e-05
345,0.0751891458392,0.51647566115,0.0011,0.00136908897028
346,0.775189145839,0.41647566115,0.0011,0.000117270118236
347,0.775189145839,0.51647566115,0.0011,0.00011963998189
348,0.975189045792,0.41647553685,0.0011,5.22929926232e-05
349,0.0751891458392,0.31647566115,0.0011,0.00141857514628
350,0.975189045792,0.81647553685,0.0011,2.17111089032e-05
351,0.975189045792,0.61647553685,0.0011,4.23545477451e-05
352,0.975189045792,0.71647553685,0.0011,3.34400455054e-05
353,0.0751891458392,0.61647566115,0.0011,0.00133876669255
354,0.975189045792,0.91647553685,0.0011,8.33954030623e-06
355,0.975189045792,0.51647553685,0.0011,4.85957234196e-05
356,0.0751891458392,0.41647566115,0.0011,0.00139470792523
357,0.0751891458392,0.81647566115,0.0011,0.00123341184716
358,0.0751891458392,0.91647566115,0.0011,0.0011324870916
359,0.0751891458392,0.71647566115,0.0011,0.00129788344529
360,0.775189145839,0.81647566115,0.0011,0.000138945033499
361,0.521542771037,0.872451986601,0.0011,0.000855080813226
362,0.72154277052,0.972451947424,0.0011,0.000312103633898
363,0.82154277052,0.972451947424,0.0011,0.000138195036575
364,0.221542769614,0.972451987632,0.0011,0.0016635756568
365,0.62154277052,0.972451947424,0.0011,0.000536277694197
366,0.421542769614,0.972451987632,0.0011,0.00108275000776
367,0.52154277052,0.972451947424,0.0011,0.00079777368774
368,0.321542769614,0.972451987632,0.0011,0.0013776751516
369,0.121542771037,0.872451986601,0.0011,0.00199367989842
370,0.221542771037,0.872451986601,0.0011,0.00174972191879
371,0.421542771037,0.872451986601,0.0011,0.00115563805226
372,0.121542769614,0.972451987632,0.0011,0.00190333178988
373,0.72154277194,0.872451946347,0.0011,0.000337725231468
374,0.62154277194,0.872451946347,0.0011,0.000577478761775
375,0.921542771037,0.872451986601,0.0011,3.58460341933e-05
376,0.321542771037,0.872451986601,0.0011,0.00146118484988
377,0.92154277052,0.972451947424,0.0011,2.77583657635e-05
378,0.52154277194,0.172451946347,0.0011,0.000777606863192
379,0.421542771037,0.172451986601,0.0011,0.00109640198593
380,0.921542771037,0.672451986601,0.0011,4.64517831286e-05
381,0.82154277194,0.772451946347,0.0011,0.00014779215316
382,0.921542771037,0.172451986601,0.0011,4.14051289494e-05
383,0.62154277194,0.172451946347,0.0011,0.000500458514581
384,0.72154277194,0.472451946347,0.0011,0.000295198315706
385,0.72154277194,0.172451946347,0.0011,0.000275694023494
386,0.72154277194,0.272451946347,0.0011,0.000282235580827
387,0.82154277194,0.272451946347,0.0011,0.000122524003663
388,0.221542771037,0.172451986601,0.0011,0.00183035093971
389,0.521542771037,0.472451986601,0.0011,0.00078872492227
390,0.121542771037,0.172451986601,0.0011,0.00223544286332
391,0.62154277194,0.472451946347,0.0011,0.000518746359948
392,0.72154277194,0.372451946347,0.0011,0.000288070994427
393,0.721542771037,0.0724519866015,0.0011,0.000264923410442
394,0.62154277194,0.272451946347,0.0011,0.000504945458963
395,0.521542771037,0.372451986601,0.0011,0.000781435111587
396,0.82154277194,0.872451946347,0.0011,0.000151378505351
397,0.221542771037,0.672451986601,0.0011,0.00175503273951
398,0.52154277194,0.0724519463467,0.0011,0.000781952376968
399,0.221542771037,0.372451986601,0.0011,0.00180711598238
